title,price,image,product_url,product_type,vendor
Roland RP-701 88-key Digital Piano,6111,https://cdn.shopify.com/s/files/1/0548/9374/0193/products/rp701_photo_04__73059.1610424736.jpg?v=1625666490,https://majormusic.com.my/collections/digital-pianos/products/roland-rp-701-88-key-digital-piano,3,10
Roland RP-701 88-key Digital Piano,6111,https://cdn.shopify.com/s/files/1/0548/9374/0193/products/rp701_photo_04__73059.1610424736.jpg?v=1625666490,https://majormusic.com.my/collections/digital-pianos/products/roland-rp-701-88-key-digital-piano,3,10
Kawai KDP-120 88-Key Digital Piano - Black,4890,https://cdn.shopify.com/s/files/1/0548/9374/0193/products/kawai-kdp-120-digital-piano-digital-piano-kawai-4_1050x700_e8da2943-938f-473d-a19a-b6a06fe526a0.jpg?v=1626511627,https://majormusic.com.my/collections/digital-pianos/products/kawai-kdp-120-88-key-digital-piano,3,11
Flykeys FK130 88-Key Digital Piano Home Electric Piano Keyboard - Rosewood,3799,https://cdn.shopify.com/s/files/1/0548/9374/0193/products/XSG3DuSw1623400027-7952x5304.jpg?v=1625644816,https://majormusic.com.my/collections/digital-pianos/products/flykeys-fk130-88-key-digital-piano-home-electric-piano-keyboard-rosewood,3,12
Flykeys LK03S 88-Key Digital Piano Home Electric Piano Keyboard - Rosewood,2399,https://cdn.shopify.com/s/files/1/0548/9374/0193/products/PUryXHa51623391300-800x800_139b5787-9a53-4719-892f-39269089f41e.jpg?v=1625644622,https://majormusic.com.my/collections/digital-pianos/products/flykeys-lk03s-88-key-digital-piano-home-electric-piano-keyboard-rosewood,3,12
Flykeys LK03S 88-Key Digital Piano Home Electric Piano Keyboard - Rosewood,2399,https://cdn.shopify.com/s/files/1/0548/9374/0193/products/PUryXHa51623391300-800x800_139b5787-9a53-4719-892f-39269089f41e.jpg?v=1625644622,https://majormusic.com.my/collections/digital-pianos/products/flykeys-lk03s-88-key-digital-piano-home-electric-piano-keyboard-rosewood,3,12
Kawai ES110 88-Key Digital Piano (Musician Set),2990,https://cdn.shopify.com/s/files/1/0548/9374/0193/products/preview_772cd0df-02f2-4cd1-b3de-21762c394bec.jpg?v=1625634694,https://majormusic.com.my/collections/digital-pianos/products/kawai-es110-88-key-digital-piano-musician-set,3,12
Kawai ES110 88-Key Digital Piano,3890,https://cdn.shopify.com/s/files/1/0548/9374/0193/products/ff21303e95a5f921cef84d446bd02836.jpg?v=1621763539,https://majormusic.com.my/collections/digital-pianos/products/kawai-es110-88-key-digital-piano,3,12
Alesis Recital Pro 88-key Hammer Action Digital Piano,1785,https://cdn.shopify.com/s/files/1/0548/9374/0193/products/sddefault.jpg?v=1614924463,https://majormusic.com.my/collections/digital-pianos/products/alesis-recital-pro-88-key-hammer-action-digital-piano,,13
Roland FP-30X 88 Key Digital Piano (Full Set),3978,https://cdn.shopify.com/s/files/1/0548/9374/0193/products/FP-30_BK_ipad_gal.jpg?v=1615136116,https://majormusic.com.my/collections/digital-pianos/products/roland-fp-30x-88-key-digital-piano-full-set,3,10
Roland FP-30X 88 Key Digital Piano (Full Set),3978,https://cdn.shopify.com/s/files/1/0548/9374/0193/products/FP-30_BK_ipad_gal.jpg?v=1615136116,https://majormusic.com.my/collections/digital-pianos/products/roland-fp-30x-88-key-digital-piano-full-set,3,10
Roland FP-30X 88 Key Digital Piano (Musician Set),3141,https://cdn.shopify.com/s/files/1/0548/9374/0193/products/fp-30x-bk_back_gal.jpg?v=1615099513,https://majormusic.com.my/collections/digital-pianos/products/roland-fp-30x-88-key-digital-piano-musician-set,3,10
Roland FP-30X 88 Key Digital Piano (Musician Set),3141,https://cdn.shopify.com/s/files/1/0548/9374/0193/products/fp-30x-bk_back_gal.jpg?v=1615099513,https://majormusic.com.my/collections/digital-pianos/products/roland-fp-30x-88-key-digital-piano-musician-set,3,10
Roland HP704 88-keys Digital Piano,10500,https://cdn.shopify.com/s/files/1/0548/9374/0193/products/IMG_20190805_153656_1024x768_5a365806-8f7e-4265-94ee-6f3b13c36834.jpg?v=1615099710,https://majormusic.com.my/collections/digital-pianos/products/roland-hp704-88-keys-digital-piano,,10
Roland FP-10 88-key Digital Piano (Musician Set),2430,https://cdn.shopify.com/s/files/1/0548/9374/0193/products/2-600x600.jpg?v=1615098875,https://majormusic.com.my/collections/digital-pianos/products/roland-fp-10-88-key-digital-piano-musician-set,,10
Alesis Virtue 88-Key Digital Piano with Wood Stand and Bench,2090,https://cdn.shopify.com/s/files/1/0548/9374/0193/products/LQSW_Virtue_Rear_Detail_Hires.jpg?v=1614927291,https://majormusic.com.my/collections/digital-pianos/products/alesis-virtue-88-key-digital-piano-with-wood-stand-and-bench,3,13
