title,price,image,product_url,product_type,vendor
Yamaha PSS-A50 37-key Mini-key Keyboard,455,https://cdn.shopify.com/s/files/1/2461/8229/products/products_2FY01-PSSA50_2FY01-PSSA50_1622436660583.jpg?v=1622436681,https://www.sweelee.com.my/collections/keyboards/products/yamaha-pss-a50-37-key-mini-key-keyboard,5,15
Yamaha PSS-F30 37-key Mini-key Keyboard,270,https://cdn.shopify.com/s/files/1/2461/8229/products/products_2FY01-PSSF30_2FY01-PSSF30_1622440699413.jpg?v=1622441419,https://www.sweelee.com.my/collections/keyboards/products/yamaha-pss-f30-37-key-mini-key-keyboard,5,15
Yamaha PSS-E30 (Remie) Mini-key Keyboard,270,https://cdn.shopify.com/s/files/1/2461/8229/products/products_2FY01-PSSE30_2FY01-PSSE30_1622438349623.jpg?v=1622438717,https://www.sweelee.com.my/collections/keyboards/products/yamaha-pss-e30-remie-mini-key-keyboard,5,15
Roland JUNO-DS61 Synthesizer,3990,https://cdn.shopify.com/s/files/1/2461/8229/products/R11-JUNO-DS61_1521706818343.jpg?v=1610076000,https://www.sweelee.com.my/collections/keyboards/products/roland-juno-ds61-synthesizer,5,10
Arturia Microfreak Hybrid Synthesizer,1285,https://cdn.shopify.com/s/files/1/2461/8229/products/A26-570101_1564627151632.jpg?v=1567130253,https://www.sweelee.com.my/collections/keyboards/products/arturia-microfreak-hybrid-synthesizer,5,30
Alesis Harmony 61 MKII 61-Key Portable Arranger Keyboard with built-in Speakers,610,https://cdn.shopify.com/s/files/1/2461/8229/products/products_2FA62-HARMONY61MKIIXEUX_2FA62-HARMONY61MKIIXEUX_1624256340042.jpg?v=1624257622,https://www.sweelee.com.my/collections/keyboards/products/alesis-harmony-61-mkii-61-key-portable-arranger-keyboard-with-built-in-speakers,5,13
Novation Ultranova Synthesizer,1965,https://cdn.shopify.com/s/files/1/2461/8229/products/N16-NOVSYNTH01_001.jpg?v=1559546764,https://www.sweelee.com.my/collections/keyboards/products/novation-ultranova-synthesizer,5,27
Novation MiniNova 37-mini-key Synthesizer,1765,https://cdn.shopify.com/s/files/1/2461/8229/products/N16-NOVSYNTH02UKEU_001.jpg?v=1559546762,https://www.sweelee.com.my/collections/keyboards/products/novation-mininova-37-mini-key-synthesizer,5,27
Roland JUNO-DS76 Synthesizer,5390,https://cdn.shopify.com/s/files/1/2461/8229/products/R11-JUNO-DS76_1554695615734.jpg?v=1619448191,https://www.sweelee.com.my/collections/keyboards/products/roland-juno-ds76-synthesizer,5,10
"Roland BK-3 Backing Keyboard, Black",2300,https://cdn.shopify.com/s/files/1/2461/8229/products/R11-BK3-BK_1522896494889.jpg?v=1608542695,https://www.sweelee.com.my/collections/keyboards/products/roland-bk-3-backing-keyboard-black,5,10
Arturia MiniBrute 2 Semi-modular Analog Synthesizer,2190,https://cdn.shopify.com/s/files/1/2461/8229/products/products_2FA26-531001_2FA26-531001_1633921283013.jpg?v=1633921302,https://www.sweelee.com.my/collections/keyboards/products/arturia-minibrute-2-semi-modular-analog-synthesizer,5,30
"Behringer ODYSSEY 37-Key Analog Synthesizer, UK Plug",1890,https://cdn.shopify.com/s/files/1/2461/8229/products/products_2FB03-000-BNY04_2FB03-000-BNY04_1579508730634.jpg?v=1582871135,https://www.sweelee.com.my/collections/keyboards/products/behringer-odyssey-37-key-analog-synthesizer-uk-plug,5,
Arturia MicroBrute Analog Synthesizer,1285,https://cdn.shopify.com/s/files/1/2461/8229/products/products_2FA26-MICROBRUTE_2FA26-MICROBRUTE_1590045621111.jpg?v=1590045633,https://www.sweelee.com.my/collections/keyboards/products/arturia-microbrute-analog-synthesizer,5,30
"Roland BK-3 Backing Keyboard, White",2300,https://cdn.shopify.com/s/files/1/2461/8229/products/R11-BK3-WH_1522896695649.jpg?v=1657167952,https://www.sweelee.com.my/collections/keyboards/products/roland-bk-3-backing-keyboard-white,5,10
Roland Fantom 6 Professional Workstation (61 Keys),15000,https://cdn.shopify.com/s/files/1/2461/8229/products/products_2FR11-FANTOM-6_2FR11-FANTOM-6_1582784815974.jpg?v=1642123757,https://www.sweelee.com.my/collections/keyboards/products/roland-fantom-6-professional-workstation-61-keys,5,10
