title,price,image,product_url,product_type,vendor
DISPLAY CLEARANCE - PEARL VISION MAPLE SHELL 5 PCS DRUMSET VML925P/C 802,3666.67,https://cdn.shopify.com/s/files/1/1371/8893/products/1645682079458.jpg?v=1645766035,https://www.zosomusic.com/collections/acoustic-drums/products/pearl-drum-acoustic-peavml925p-c802,1,2
DISPLAY CLEARANCE - TAMA SILVERSTAR 10X13 TOM TOM,426.1,https://cdn.shopify.com/s/files/1/1371/8893/products/1645249899921.jpg?v=1645250069,https://www.zosomusic.com/collections/acoustic-drums/products/tama-drum-acoustic-tamvkt13a-hmb,1,3
"Gretsch CM1-E605-WG Catalina Maple 5-Piece Drum Shell Kit(20inch Bass), Walnut Glaze",3990,https://cdn.shopify.com/s/files/1/1371/8893/products/GRE-G21-CM1E605WG.png?v=1649055779,https://www.zosomusic.com/collections/acoustic-drums/products/gretsch-acoustic-drum-gre-g21-cm1-e605-wg,1,4
"Gretsch CM1-E825-DCB Catalina Maple 5-Piece Drum Shell Kit(22inch Bass), Dark Cherry Burst",3990,https://cdn.shopify.com/s/files/1/1371/8893/products/GRE-G21-CM1E825DCB.png?v=1649055610,https://www.zosomusic.com/collections/acoustic-drums/products/gretsch-acoustic-drum-gre-g21-cm1-e825-dcb,1,4
GRETSCH CM1-E826P-SDCB CATALINA MAPLE 7 PCS DRUM SHELL KIT SATIN DEEP CHERRY BURST,4965,https://cdn.shopify.com/s/files/1/1371/8893/products/G21-CM1-E826P-DCB_1523242894581.webp?v=1653031103,https://www.zosomusic.com/collections/acoustic-drums/products/gretsch-cm1-e826p-sdcb-catalina-maple-7-pcs-drum-shell-kit-satin-deep-cherry-burst,1,4
"Gretsch CT1-J404-GCB CAT Catalina Club 4-Piece Drum Shell Kit Set(20inch Bass), Gloss Crimson Burst",3295,https://cdn.shopify.com/s/files/1/1371/8893/products/2_17428ec9-062f-46b3-b7b8-2307b8044d45.png?v=1649058337,https://www.zosomusic.com/collections/acoustic-drums/products/gretsch-acoustic-drum-gre-g21-ct1-j404-gcb,1,4
"GRETSCH GE4E825B ENERGY 5-PIECE DRUMKIT W/HARDWARE, NO CYMBALS - BLACK",2770,https://cdn.shopify.com/s/files/1/1371/8893/products/Untitleddesign_27a3bfc0-7c0e-491b-aff7-92cd4b1a9a25.png?v=1626612046,https://www.zosomusic.com/collections/acoustic-drums/products/gretsch-acoustic-drum-gre-g21-ge4e825b,1,4
"Gretsch GE4E825W Energy 5-Piece Drum Kit with Hardware(22inch BD), No Cymbals, White",2490,https://cdn.shopify.com/s/files/1/1371/8893/products/GRE-G21-GE4E825W.png?v=1649142897,https://www.zosomusic.com/collections/acoustic-drums/products/gretsch-acoustic-drum-gre-g21-ge4e825w,1,4
"LUDWIG LC16511 ACCENT DRIVE 5-PIECE DRUMS SET W/HARDWARE, THRONE & CYMBAL COLOR BLACK CORTEX (FULL SET)",1950,https://cdn.shopify.com/s/files/1/1371/8893/products/Untitleddesign_73_f2018c61-f42f-477f-b90b-f9ed341be8fc.png?v=1642087381,https://www.zosomusic.com/collections/acoustic-drums/products/ludwig-acoustic-drum-l14-lc16511dir,1,1
"LUDWIG LC16514 ACCENT DRIVE 5-PIECE DRUMS SET WITH HARDWARE, THRONE, CYMBAL, RED FOIL COLOR (FULL SET)",1950,https://cdn.shopify.com/s/files/1/1371/8893/products/Untitleddesign_74_603d4cd2-0621-4562-9a43-afb66753252c.png?v=1626777376,https://www.zosomusic.com/collections/acoustic-drums/products/ludwig-acoustic-drum-l14-lc16514dir,1,1
"LUDWIG LC16515 ACCENT DRIVE 5-PIECE DRUMS SET WITH HARDWARE, THRONE & CYMBAL, SILVER FOIL COLOR (FULL SET/ DRUMSET)",1950,https://cdn.shopify.com/s/files/1/1371/8893/products/Untitleddesign_75_9be50c81-755d-4969-a102-a1fb12f11b18.png?v=1626777577,https://www.zosomusic.com/collections/acoustic-drums/products/ludwig-acoustic-drum-l14-lc16515dir,1,1
"LUDWIG LC16519 ACCENT DRIVE 5-PIECE DRUMS SET WITH HARDWARE,THRONE & CYMBAL COLOR  BLUE FOIL (FULL SET)",1950,https://cdn.shopify.com/s/files/1/1371/8893/products/Untitleddesign_76_0b9f6a3b-74c0-456d-ba2e-944667d9dd03.png?v=1642087537,https://www.zosomusic.com/collections/acoustic-drums/products/ludwig-acoustic-drum-l14-lc16519dir,1,1
"LUDWIG LC17511DIR ACCENT DRIVE 5-PIECE DRUMS SET W/HARDWARE,THRONE,CYMBAL BLACK (LUD-L14-LC17511DIR)",1870,https://cdn.shopify.com/s/files/1/1371/8893/products/Untitleddesign_78_5c66f878-8445-4f21-9c68-cf473581a890.png?v=1626778245,https://www.zosomusic.com/collections/acoustic-drums/products/ludwig-acoustic-drum-l14-lc17511dir,1,1
"LUDWIG LC17515DIR ACCENT DRIVE 5-PIECE DRUMS SET W/HARDWARE+THRONE+CYMBAL, SILVER FOIL",1870,https://cdn.shopify.com/s/files/1/1371/8893/products/L14-LC17515DIR_001_1024x1024_79b3801b-cc7e-4c39-9c9b-3d3ce55c9e25.jpg?v=1571664097,https://www.zosomusic.com/collections/acoustic-drums/products/ludwig-lc17515dir-accent-drive-5-piece-drums-set-with-hardware-throne-cymbal-silver-foil-color,1,1
"LUDWIG LJR1061DIR 5-PIECE JUNIOR DRUM KIT W/ HARDWARE+THRONE+CYMBAL, BLACK",1355,https://cdn.shopify.com/s/files/1/1371/8893/products/tetet_1.JPG?v=1571664187,https://www.zosomusic.com/collections/acoustic-drums/products/ludwig-accent-lc175-5-piece-acoustic-drum-set-with-full-set-hardware-pack-w-o-cymbals,1,1
"LUDWIG LJR1062DIR 5-PIECE JUNIOR DRUM KIT W/ HARDWARE+THRONE+CYMBAL, BLUE",1355,https://cdn.shopify.com/s/files/1/1371/8893/products/ludwig_accent_junior_blue.jpg?v=1571664187,https://www.zosomusic.com/collections/acoustic-drums/products/ludwig-accent-lc175-blue-5-piece-acoustic-drum-set-with-full-set-hardware-pack-with-2-piece-of-cymbal,1,1
"LUDWIG LJR1064DIR 5-PIECE JUNIOR DRUM KIT W/ HARDWARE+THRONE+CYMBAL, WINE RED",1355,https://cdn.shopify.com/s/files/1/1371/8893/products/tetet_2.JPG?v=1571664187,https://www.zosomusic.com/collections/acoustic-drums/products/ludwig-accent-lc175-red-5-piece-acoustic-drum-set-with-full-set-hardware-pack-with-2-piece-of-cymbal,1,1
STAGG TIM 3PC 16IN JR DRUMSET+HW-RED (CRASH + DRUMSTICKS + THRONE INCLUDED),999,https://cdn.shopify.com/s/files/1/1371/8893/products/19470_1513336898.jpg?v=1622865720,https://www.zosomusic.com/collections/acoustic-drums/products/stagg-acoustic-drum-timjr316brd,1,14
STAGG TIM JR 5PC 16IN JR DRUMSET+HW-BLACK (HI-HAT + CRASH + DRUMSTICKS + THRONE INCLUDED),999,https://cdn.shopify.com/s/files/1/1371/8893/products/19471_1513342381_79baea1d-c6bc-422a-be10-db07ff39a191.jpg?v=1622865670,https://www.zosomusic.com/collections/acoustic-drums/products/stagg-acoustic-drum-timjr516bbk,1,14
STAGG TIM122B 5PC DRUMSET 22IN+ HW-BLACK (CYMBALS + DRUMSTICK + DRUM THRONE INCLUDED) TIM122BBK & TI,1599,https://cdn.shopify.com/s/files/1/1371/8893/products/7446_1334060315.jpg?v=1622865848,https://www.zosomusic.com/collections/acoustic-drums/products/stagg-acoustic-drum-bundle-tim122b-bk,1,14
TAMA CLUB-JAM 4-PIECE DRUMSET POPLAR/MERSAWA SHELL PACK - SATIN BLONDE,3452,https://cdn.shopify.com/s/files/1/1371/8893/products/K83498000001000-03-2000x2000.jpg?v=1636260157,https://www.zosomusic.com/collections/acoustic-drums/products/tama-acoustic-drum-tam-ijl48h4sbo,1,3
"Tama IES52KH6W-NZW Imperialstar Drumset, Natural Zebrawood Wrap",3060,https://cdn.shopify.com/s/files/1/1371/8893/products/21578810.jpg?v=1637074056,https://www.zosomusic.com/collections/acoustic-drums/products/tama-acoustic-drum-ies52kh6w-nzw,1,3
"Tama Imperialstar 14X5 Snare Drum, Apple Mist",495,https://cdn.shopify.com/s/files/1/1371/8893/products/tama-ie52kh6w-pcm-imperialstar-candy-apple-mist.jpg?v=1637074256,https://www.zosomusic.com/collections/acoustic-drums/products/tama-snare-drum-ies145-cpm,1,3
TAMA IMPERIALSTAR 5PCS ACO DRUMSET W/HARDWARE HAIRLINE BLACK,2754,https://cdn.shopify.com/s/files/1/1371/8893/products/TAMIE52KH6WHBK.png?v=1655190820,https://www.zosomusic.com/collections/acoustic-drums/products/tama-imperialstar-5pcs-aco-drumset-w-hardware-hairline-black,1,3
TAMA IMPERIALSTAR 5PCS ACOUSTIC DRUMSET WITH HARDWARE COLOR BURGUNDY WALNUT WRAP IE52KH6W BWW,3400,https://cdn.shopify.com/s/files/1/1371/8893/products/158.7000_9.png?v=1627895037,https://www.zosomusic.com/collections/acoustic-drums/products/tama-acoustic-drum-ie52kh6w-bww,1,3
"Tama LJK44H4-AQB Club Jam Flyer Drumset, Aqua Blue",2340,https://cdn.shopify.com/s/files/1/1371/8893/products/29049_tama_ljk44scpm_TAMA-LJK44S-ACCLAIM-DI2.jpg?v=1637074680,https://www.zosomusic.com/collections/acoustic-drums/products/tama-acoustic-drum-ljk44h4-aqb,1,3
"Tama LJK48h4-GXS Clun Jam Kit Drumset, Galaxy Silver",2340,https://cdn.shopify.com/s/files/1/1371/8893/products/images_b64c3df9-5117-47ce-8215-c98d3f426ba7.jpg?v=1639016388,https://www.zosomusic.com/collections/acoustic-drums/products/tama-acoustic-drum-ljk48h4-gxs,1,3
"TAMA RHYTHM MATE DRUMSET 5PC & 5PCS HARDWARE RM52KH6 BK, BLACK (WITHOUT CYMBAL)",2999,https://cdn.shopify.com/s/files/1/1371/8893/products/pen_RHYTHM_MATE_00_01.png?v=1636260518,https://www.zosomusic.com/collections/acoustic-drums/products/tama-acoustic-drum-tamrm52kh6-bk,1,3
"Tama SG50H6-DB Stagestar Drumset Kit, Dark Blue",2115,https://cdn.shopify.com/s/files/1/1371/8893/products/pen_STAGEMSTAR_00_01_DB_set.png?v=1637933860,https://www.zosomusic.com/collections/acoustic-drums/products/tama-acoustic-drum-sg50h6-db,1,3
"Tama SG52KH6 5-Piece Drum Kits With Cymbals, Dark Blue",2520,https://cdn.shopify.com/s/files/1/1371/8893/products/xJg6loKU1595405663-420x420.png?v=1637933942,https://www.zosomusic.com/collections/acoustic-drums/products/tama-acoustic-drum-sg52kh6-db,1,3
"Tama SG52KH6 5-Piece Drum Kits, Cymbals NOT Included, Black",2160,https://cdn.shopify.com/s/files/1/1371/8893/products/SG52KH6_BK_RM2550_f9dbc133-7c87-4304-b90b-cf459e7d9cf8.jpg?v=1637934020,https://www.zosomusic.com/collections/acoustic-drums/products/tama-acoustic-drum-sg52kh6-bk,1,3
"Tama SG52KH6 5-Piece Drum Kits, Cymbals NOT Included, Scorched Copper Sparkle",2160,https://cdn.shopify.com/s/files/1/1371/8893/products/xJg6loKU1595405663-420x420_063dec4a-f8cc-4a38-8578-24fb33156bf1.png?v=1637934063,https://www.zosomusic.com/collections/acoustic-drums/products/tama-acoustic-drum-sg52kh6-scp,1,3
"Tama SG52KH6 5-Piece Drum Kits, Cymbals NOT Included, Wine Red",2160,https://cdn.shopify.com/s/files/1/1371/8893/products/41kbpsOZelL.jpg?v=1637934133,https://www.zosomusic.com/collections/acoustic-drums/products/tama-acoustic-drum-sg52kh6-wr,1,3
"TAMA SG52KH6-CSV STAGESTAR 5PCS ACOUSTIC DRUMKIT WITH HARDWARE & THRONE (WITHOUT CYMBAL), WITH CHARCOAL SILVER COLOUR",2095,https://cdn.shopify.com/s/files/1/1371/8893/products/158.7000_43.png?v=1627898171,https://www.zosomusic.com/collections/acoustic-drums/products/tama-acoustic-drum-t03-sg52kh6-csv,1,3
"Tama SG52KH6C Stagestar 5-Piece Drum Kits With Cymbals, Charcoal Silver",2520,https://cdn.shopify.com/s/files/1/1371/8893/products/SG52KH6_CSV_RM2550_800x_bd26f24d-8416-4fab-a5db-a998bf88a249.jpg?v=1638076374,https://www.zosomusic.com/collections/acoustic-drums/products/tama-acoustic-drum-sg52kh6c-csv,1,3
"Tama SG52KH6C Stagestar 5-Piece Drum Kits With Cymbals, Wine Red",2520,https://cdn.shopify.com/s/files/1/1371/8893/products/pen_SG52KH6C_SCP.png?v=1638076549,https://www.zosomusic.com/collections/acoustic-drums/products/tama-acoustic-drum-sh52kh6c-wr,1,3
TAMA STAGESTAR SG52KH6 BK BLACK 5 PIECE ACOUSTIC DRUM SET WITH FULL SET HARDWARE PACK (W/O CYMBALS) FREE DRUM THRONE,2406,https://cdn.shopify.com/s/files/1/1371/8893/products/SG52KH6_BK_RM2550.jpg?v=1571664187,https://www.zosomusic.com/collections/acoustic-drums/products/tama-stagestar-sg52kh6-basic-drum-kit,1,3
TAMA STAGESTAR SG52KH6 BLUE 5 PIECE ACOUSTIC DRUM SET WITH FULL SET HARDWARE PACK (W/O CYMBALS) FREE DRUM THRONE,2406,https://cdn.shopify.com/s/files/1/1371/8893/products/SG52KH6_DB_RM2550.jpg?v=1571664187,https://www.zosomusic.com/collections/acoustic-drums/products/tama-stagestar-sg52kh6-wr-wine-red-5-piece-acoustic-drum-set-with-full-set-hardware-pack-w-o-cymbals-free-drum-throne-1,1,3
TAMA STAGESTAR SG52KH6 CSV CHARCOAL SILVER 5 PIECE ACOUSTIC DRUM SET WITH FULL SET HARDWARE PACK (W/O CYMBALS) FREE DRUM THRONE,2406,https://cdn.shopify.com/s/files/1/1371/8893/products/SG52KH6_CSV_RM2550.jpg?v=1571664187,https://www.zosomusic.com/collections/acoustic-drums/products/tama-stagestar-sg52kh6-csv-5-piece-acoustic-drum-set-with-full-set-hardware-pack-w-o-cymbals-free-drum-throne,1,3
TAMA STAGESTAR SG52KH6 WR WINE RED 5 PIECE ACOUSTIC DRUM SET WITH FULL SET HARDWARE PACK (W/O CYMBALS) FREE DRUM THRONE,2406,https://cdn.shopify.com/s/files/1/1371/8893/products/SG52KH6_WR_RM2550.jpg?v=1571664187,https://www.zosomusic.com/collections/acoustic-drums/products/tama-stagestar-sg52kh6-wr-wine-red-5-piece-acoustic-drum-set-with-full-set-hardware-pack-w-o-cymbals-free-drum-throne,1,3
YAMAHA STAGE CUSTOM ALL BIRCH SHELL,5094,https://cdn.shopify.com/s/files/1/1371/8893/products/STAGE_CUSTOM_RAVEN_BLACK.jpg?v=1571663177,https://www.zosomusic.com/collections/acoustic-drums/products/yamaha-stage-custom-all-birch-shell,1,15
YAMAHA STAGE CUSTOM ALL BIRCH SHELL,5094,https://cdn.shopify.com/s/files/1/1371/8893/products/STAGE_CUSTOM_RAVEN_BLACK.jpg?v=1571663177,https://www.zosomusic.com/collections/acoustic-drums/products/yamaha-stage-custom-all-birch-shell,1,15
YAMAHA STAGE CUSTOM ALL BIRCH SHELL,5094,https://cdn.shopify.com/s/files/1/1371/8893/products/STAGE_CUSTOM_RAVEN_BLACK.jpg?v=1571663177,https://www.zosomusic.com/collections/acoustic-drums/products/yamaha-stage-custom-all-birch-shell,1,15
YAMAHA STAGE CUSTOM ALL BIRCH SHELL,5094,https://cdn.shopify.com/s/files/1/1371/8893/products/STAGE_CUSTOM_RAVEN_BLACK.jpg?v=1571663177,https://www.zosomusic.com/collections/acoustic-drums/products/yamaha-stage-custom-all-birch-shell,1,15
YAMAHA STAGE CUSTOM ALL BIRCH SHELL,5094,https://cdn.shopify.com/s/files/1/1371/8893/products/STAGE_CUSTOM_RAVEN_BLACK.jpg?v=1571663177,https://www.zosomusic.com/collections/acoustic-drums/products/yamaha-stage-custom-all-birch-shell,1,15
